,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,F09,SYBR,Cit6,Unkn,J-Cit6,1104.99199788112,,Unknown,Unassigned,False
,F10,SYBR,mCh,Unkn,J-Cit6,1355.90141098571,,Unknown,Unassigned,False
,F11,SYBR,mCh,Unkn,J-Cit6,1335.63634681351,,Unknown,Unassigned,False
,F12,SYBR,mCh,Unkn,J-Cit6,1273.15684790538,,Unknown,Unassigned,False
,H01,SYBR,Cit3,NTC,NTC,629.831414021815,,NTC,Unassigned,False
,H02,SYBR,Cit3,NTC,NTC,772.668988601621,,NTC,Unassigned,False
,H03,SYBR,Cit3,NTC,NTC,722.5614512405,,NTC,Unassigned,False
,H04,SYBR,Cit6,NTC,NTC,1172.1098462365,,NTC,Unassigned,False
,H05,SYBR,Cit6,NTC,NTC,1144.32039733828,,NTC,Unassigned,False
,H06,SYBR,Cit6,NTC,NTC,1167.2919307151,,NTC,Unassigned,False
,H07,SYBR,mCh,NTC,NTC,-0.418386714824283,,NTC,Unassigned,False
,H08,SYBR,mCh,NTC,NTC,0.270751037348964,,NTC,Unassigned,False
,H09,SYBR,mCh,NTC,NTC,-2.35598054286356,,NTC,Unassigned,False
