.id,area,n
Specimen_001_G2_G02.fcs,area 2,71
Specimen_001_G2_G02.fcs,area 3,30949
Specimen_001_G2_G02.fcs,area 4,251
Specimen_001_G2_G02.fcs,area 5,575
Specimen_001_G2_G02.fcs,area 6,187
Specimen_001_G2_G02.fcs,area 7,75
Specimen_001_G2_G02.fcs,area 8,89
Specimen_001_G2_G02.fcs,area 9,105
Specimen_001_G3_G03.fcs,area 1,9
Specimen_001_G3_G03.fcs,area 10,119
Specimen_001_G3_G03.fcs,area 11,4
Specimen_001_G3_G03.fcs,area 12,5
Specimen_001_G3_G03.fcs,area 13,17
Specimen_001_G3_G03.fcs,area 14,3
Specimen_001_G3_G03.fcs,area 2,31667
Specimen_001_G3_G03.fcs,area 3,429
Specimen_001_G3_G03.fcs,area 4,61
Specimen_001_G3_G03.fcs,area 5,22
Specimen_001_G3_G03.fcs,area 6,243
Specimen_001_G3_G03.fcs,area 7,247
Specimen_001_G3_G03.fcs,area 8,280
Specimen_001_G3_G03.fcs,area 9,34
Specimen_001_G4_G04.fcs,area 1,8168
Specimen_001_G4_G04.fcs,area 2,2553
Specimen_001_G4_G04.fcs,area 3,68
Specimen_001_G4_G04.fcs,area 4,410
Specimen_001_G7_G07.fcs,area 1,8982
Specimen_001_G7_G07.fcs,area 2,5402
Specimen_001_G8_G08.fcs,area 1,6935
Specimen_001_G8_G08.fcs,area 2,4470
Specimen_001_G8_G08.fcs,area 3,141
Specimen_001_G8_G08.fcs,area 4,69
Specimen_001_G9_G09.fcs,area 1,9820
Specimen_001_G9_G09.fcs,area 2,5030
Specimen_001_G9_G09.fcs,area 3,79
Specimen_001_H1_H01.fcs,area 1,7005
Specimen_001_H1_H01.fcs,area 2,1988
Specimen_001_H1_H01.fcs,area 3,25
Specimen_001_H1_H01.fcs,area 4,58
Specimen_001_H1_H01.fcs,area 5,557
Specimen_001_H2_H02.fcs,area 1,145
Specimen_001_H2_H02.fcs,area 2,3282
Specimen_001_H2_H02.fcs,area 3,770
Specimen_001_H2_H02.fcs,area 4,3094
Specimen_001_H2_H02.fcs,area 5,9
Specimen_001_H2_H02.fcs,area 6,588
Specimen_001_H3_H03.fcs,area 1,8380
Specimen_001_H3_H03.fcs,area 2,749
Specimen_001_H3_H03.fcs,area 3,9
Specimen_001_H3_H03.fcs,area 4,907
Specimen_001_H3_H03.fcs,area 5,395
Specimen_001_H3_H03.fcs,area 6,160
Specimen_001_H4_H04.fcs,area 1,9414
Specimen_001_H4_H04.fcs,area 2,1226
Specimen_001_H4_H04.fcs,area 3,454
Specimen_001_H4_H04.fcs,area 4,289
Specimen_001_H5_H05.fcs,area 1,3639
Specimen_001_H5_H05.fcs,area 2,804
Specimen_001_H5_H05.fcs,area 3,205
Specimen_001_H5_H05.fcs,area 4,1045
Specimen_001_H5_H05.fcs,area 5,41
Specimen_001_H5_H05.fcs,area 6,26
Specimen_001_H5_H05.fcs,area 7,50
Specimen_001_H6_H06.fcs,area 1,7572
Specimen_001_H6_H06.fcs,area 2,843
Specimen_001_H6_H06.fcs,area 3,195
Specimen_001_H6_H06.fcs,area 4,189
Specimen_001_H6_H06.fcs,area 5,257
