,Well,Fluor,Target,Content,Sample,Cq,SQ
,D05,SYBR,cit9,Unkn,FUN12-C9,15.8397181474923,NaN
,D06,SYBR,cit9,Unkn,FUN12-C9,16.001064102699,NaN
,D07,SYBR,mCherry,Unkn,FUN12-Ci,14.2029833703184,NaN
,D08,SYBR,mCherry,Unkn,FUN12-Ci,14.4711801718944,NaN
,D09,SYBR,mCherry,Unkn,FUN12-Ci,14.8787785539462,NaN
,D10,SYBR,mCherry,Unkn,FUN12-C9,13.4124856930208,NaN
,D11,SYBR,mCherry,Unkn,FUN12-C9,15.271568476314,NaN
,D12,SYBR,mCherry,Unkn,FUN12-C9,14.9466321973122,NaN
,E01,SYBR,citMin,Unkn,FUN12-Ci,14.9342589909366,NaN
,E02,SYBR,citMin,Unkn,FUN12-Ci,14.6246035041787,NaN
,E03,SYBR,citMin,Unkn,FUN12-Ci,15.0265018746545,NaN
,E04,SYBR,cit9,Unkn,FUN12-C9,15.763737442068,NaN
,E05,SYBR,cit9,Unkn,FUN12-C9,15.8910141174016,NaN
,E06,SYBR,cit9,Unkn,FUN12-C9,15.9318297968132,NaN
,E07,SYBR,mCherry,Unkn,FUN12-Ci,14.2284743899552,NaN
,E08,SYBR,mCherry,Unkn,FUN12-Ci,14.4212547488179,NaN
,E09,SYBR,mCherry,Unkn,FUN12-Ci,15.2879085615272,NaN
,E10,SYBR,mCherry,Unkn,FUN12-C9,13.396224572954,NaN
,E11,SYBR,mCherry,Unkn,FUN12-C9,15.373449659282,NaN
,E12,SYBR,mCherry,Unkn,FUN12-C9,15.0005208190089,NaN
,F01,SYBR,citMin,Unkn,FUN12-Ci,14.4690806211808,NaN
,F02,SYBR,citMin,Unkn,FUN12-Ci,14.6051866851887,NaN
,F03,SYBR,citMin,Unkn,FUN12-Ci,15.0237209558242,NaN
,F04,SYBR,cit9,Unkn,FUN12-C9,15.5424203082367,NaN
,F05,SYBR,cit9,Unkn,FUN12-C9,15.9492767031309,NaN
,F06,SYBR,cit9,Unkn,FUN12-C9,16.0226057224288,NaN
,F07,SYBR,mCherry,Unkn,FUN12-Ci,14.0832787652026,NaN
,F08,SYBR,mCherry,Unkn,FUN12-Ci,14.4511950846497,NaN
,F09,SYBR,mCherry,Unkn,FUN12-Ci,14.9312066489688,NaN
,F10,SYBR,mCherry,Unkn,FUN12-C9,13.3299549616835,NaN
,F11,SYBR,mCherry,Unkn,FUN12-C9,15.2892279748971,NaN
,F12,SYBR,mCherry,Unkn,FUN12-C9,14.8468116560734,NaN
,G01,SYBR,citMin,NTC,NTC,NaN,NaN
,G02,SYBR,cit9,NTC,NTC,NaN,NaN
,G03,SYBR,mCherry,NTC,NTC,NaN,NaN
,G04,SYBR,citMin,NTC,NTC,NaN,NaN
,G05,SYBR,cit9,NTC,NTC,35.4260721338962,NaN
,G06,SYBR,mCherry,NTC,NTC,NaN,NaN
,G07,SYBR,citMin,NTC,NTC,NaN,NaN
,G08,SYBR,cit9,NTC,NTC,35.8222335098526,NaN
,G09,SYBR,mCherry,NTC,NTC,NaN,NaN
