,Well,Fluor,Target,Content,Sample,Cq,SQ
,D01,SYBR,Citmin,Unkn,J-Citmin,15.5268810586565,NaN
,D02,SYBR,Citmin,Unkn,J-Citmin,14.8449993500459,NaN
,D03,SYBR,Citmin,Unkn,J-Citmin,15.548991888937,NaN
,D04,SYBR,mCh,Unkn,J-Citmin,15.0478368250879,NaN
,D05,SYBR,mCh,Unkn,J-Citmin,14.4904134460381,NaN
,D06,SYBR,mCh,Unkn,J-Citmin,15.2395647701594,NaN
,D07,SYBR,Cit0,Unkn,J-Cit0,14.9186387302875,NaN
,D08,SYBR,Cit0,Unkn,J-Cit0,15.5649681324924,NaN
,D09,SYBR,Cit0,Unkn,J-Cit0,14.9570829932026,NaN
,D10,SYBR,mCh,Unkn,J-Cit0,14.7241389050651,NaN
,D11,SYBR,mCh,Unkn,J-Cit0,15.7550445825254,NaN
,D12,SYBR,mCh,Unkn,J-Cit0,14.8782040948955,NaN
,E01,SYBR,Citmin,Unkn,J-Citmin,15.5642669527117,NaN
,E02,SYBR,Citmin,Unkn,J-Citmin,14.9688856505413,NaN
,E03,SYBR,Citmin,Unkn,J-Citmin,15.3751407477558,NaN
,E04,SYBR,mCh,Unkn,J-Citmin,14.9896366899007,NaN
,E05,SYBR,mCh,Unkn,J-Citmin,14.6378100893084,NaN
,E06,SYBR,mCh,Unkn,J-Citmin,15.1708027658075,NaN
,E07,SYBR,Cit0,Unkn,J-Cit0,15.0390029650578,NaN
,E08,SYBR,Cit0,Unkn,J-Cit0,15.6514986023032,NaN
,E09,SYBR,Cit0,Unkn,J-Cit0,15.0342546291121,NaN
,E10,SYBR,mCh,Unkn,J-Cit0,14.6593280381825,NaN
,E11,SYBR,mCh,Unkn,J-Cit0,15.6845125694031,NaN
,E12,SYBR,mCh,Unkn,J-Cit0,14.9169293340609,NaN
,F01,SYBR,Citmin,Unkn,J-Citmin,15.3632201647822,NaN
,F02,SYBR,Citmin,Unkn,J-Citmin,14.8206957792177,NaN
,F03,SYBR,Citmin,Unkn,J-Citmin,15.3375540870325,NaN
,F04,SYBR,mCh,Unkn,J-Citmin,14.9162357692786,NaN
,F05,SYBR,mCh,Unkn,J-Citmin,14.8057792360838,NaN
,F06,SYBR,mCh,Unkn,J-Citmin,15.3078833713633,NaN
,F07,SYBR,Cit0,Unkn,J-Cit0,14.8194264573352,NaN
,F08,SYBR,Cit0,Unkn,J-Cit0,15.6117291774285,NaN
,F09,SYBR,Cit0,Unkn,J-Cit0,14.9068593106255,NaN
,F10,SYBR,mCh,Unkn,J-Cit0,14.7458308162906,NaN
,F11,SYBR,mCh,Unkn,J-Cit0,15.5600616624052,NaN
,F12,SYBR,mCh,Unkn,J-Cit0,14.7700290341721,NaN
,H01,SYBR,Citmin,NTC,NTC,36.067620825712,NaN
,H02,SYBR,Citmin,NTC,NTC,38.2277582299013,NaN
,H03,SYBR,Citmin,NTC,NTC,37.3998690243507,NaN
,H04,SYBR,mCh,NTC,NTC,NaN,NaN
,H05,SYBR,mCh,NTC,NTC,NaN,NaN
,H06,SYBR,mCh,NTC,NTC,NaN,NaN
,H07,SYBR,Cit0,NTC,NTC,NaN,NaN
,H08,SYBR,Cit0,NTC,NTC,NaN,NaN
,H09,SYBR,Cit0,NTC,NTC,NaN,NaN
