.id,area,n
12-3-21_103-50-ci-tet_A07.fcs,area 2,1076
12-3-21_103-50-ci-tet_A07.fcs,area 3,1334
12-3-21_103-50-ci-tet_A07.fcs,area 4,19
12-3-21_103-50-ci-tet_A07.fcs,area 5,1361
12-3-21_103-50-ci-tet_A07.fcs,area 6,129
12-3-21_103-51-c9-SCD_A05.fcs,area 1,1016
12-3-21_103-51-c9-SCD_A05.fcs,area 2,18149
12-3-21_103-51-c9-SCD_A05.fcs,area 3,579
12-3-21_103-51-c9-SCD_A05.fcs,area 4,974
12-3-21_103-51-c9-SCD_A05.fcs,area 5,193
12-3-21_103-51-c9-tet_A11.fcs,area 1,271
12-3-21_103-51-c9-tet_A11.fcs,area 2,773
12-3-21_103-51-c9-tet_A11.fcs,area 3,1951
12-3-21_103-51-c9-tet_A11.fcs,area 4,6198
12-3-21_103-51-c9-tet_A11.fcs,area 5,103
12-3-21_103-51-c9-tet_A11.fcs,area 6,915
12-3-21_103-51-c9-tet_A11.fcs,area 7,4603
12-3-21_103-51-c9-tet_A11.fcs,area 8,257
12-3-21_103-51-ci-SCD_A02.fcs,area 1,1484
12-3-21_103-51-ci-SCD_A02.fcs,area 2,8027
12-3-21_103-51-ci-SCD_A02.fcs,area 3,536
12-3-21_103-51-ci-SCD_A02.fcs,area 4,443
12-3-21_103-51-ci-tet_A08.fcs,area 1,674
12-3-21_103-51-ci-tet_A08.fcs,area 10,4189
12-3-21_103-51-ci-tet_A08.fcs,area 2,24
12-3-21_103-51-ci-tet_A08.fcs,area 3,157
12-3-21_103-51-ci-tet_A08.fcs,area 4,2849
12-3-21_103-51-ci-tet_A08.fcs,area 5,4780
12-3-21_103-51-ci-tet_A08.fcs,area 6,92
12-3-21_103-51-ci-tet_A08.fcs,area 7,88
12-3-21_103-51-ci-tet_A08.fcs,area 8,17
12-3-21_103-51-ci-tet_A08.fcs,area 9,1200
12-3-21_103-52-c9-SCD_A06.fcs,area 1,12
12-3-21_103-52-c9-SCD_A06.fcs,area 10,23
12-3-21_103-52-c9-SCD_A06.fcs,area 11,11
12-3-21_103-52-c9-SCD_A06.fcs,area 12,61
12-3-21_103-52-c9-SCD_A06.fcs,area 13,177
12-3-21_103-52-c9-SCD_A06.fcs,area 14,103
12-3-21_103-52-c9-SCD_A06.fcs,area 15,7
12-3-21_103-52-c9-SCD_A06.fcs,area 16,2
12-3-21_103-52-c9-SCD_A06.fcs,area 17,44
12-3-21_103-52-c9-SCD_A06.fcs,area 18,2
12-3-21_103-52-c9-SCD_A06.fcs,area 19,25
12-3-21_103-52-c9-SCD_A06.fcs,area 2,3
12-3-21_103-52-c9-SCD_A06.fcs,area 3,26
12-3-21_103-52-c9-SCD_A06.fcs,area 4,33884
12-3-21_103-52-c9-SCD_A06.fcs,area 5,201
12-3-21_103-52-c9-SCD_A06.fcs,area 6,135
12-3-21_103-52-c9-SCD_A06.fcs,area 7,26
12-3-21_103-52-c9-SCD_A06.fcs,area 8,268
12-3-21_103-52-c9-SCD_A06.fcs,area 9,4
12-3-21_103-52-c9-tet_A12.fcs,area 1,7812
12-3-21_103-52-c9-tet_A12.fcs,area 2,2566
12-3-21_103-52-c9-tet_A12.fcs,area 3,91
12-3-21_103-52-c9-tet_A12.fcs,area 4,415
12-3-21_103-52-c9-tet_A12.fcs,area 5,117
12-3-21_103-52-c9-tet_A12.fcs,area 6,740
12-3-21_103-52-c9-tet_A12.fcs,area 7,151
12-3-21_103-52-ci-SCD_A03.fcs,area 1,476
12-3-21_103-52-ci-SCD_A03.fcs,area 2,8644
12-3-21_103-52-ci-tet_A09.fcs,area 1,6639
12-3-21_103-52-ci-tet_A09.fcs,area 2,1032
12-3-21_103-52-ci-tet_A09.fcs,area 3,1964
12-3-21_103-52-ci-tet_A09.fcs,area 4,1913
12-3-21_103-52-ci-tet_A09.fcs,area 5,3625
