guide	yorf	gene	logFC.slow	adj.P.Val.slow	logFC.fast	adj.P.Val.fast
YOL021C_08	YOL021C	DIS3	1.03655032355633	0.854096612003835	0.344560103897971	0.999989686247773
YOL033W_08	YOL033W	MSE1	1.29303503289795	0.419495824943028	0.300118557832888	0.999989686247773
YOL078W_08	YOL078W	AVO1	1.15284652148267	0.378351297313047	0.427756227467848	0.999989686247773
YOL103W-A_07	YOL104C	NDJ1	1.12674010653429	0.0311785188978356	0.426592649614116	0.999989686247773
YOL113W_03	YOL114C	PTH4	1.31602695854556	0.396069072086504	0.0840100299812799	0.999989686247773
YOL124C_05	YOL124C	TRM11	1.16907648384361	0.305386429795114	0.364067990560982	0.999989686247773
YOL132W_07	YOL132W	GAS4	1.04457763702522	0.857840961655356	0.27997208179073	0.999989686247773
YOR288C_08	YOR289W	YOR289W	1.22716407032919	0.900555789588711	0.0802834859464046	0.999989686247773
YOR339C_06	YOR339C	UBC11	1.05566286963942	0.936880202571513	0.107044153124788	0.999989686247773
YOR343C_00	YOR343C	YOR343C	1.13504333924721	0.632539561212689	0.0716984937479501	0.999989686247773
YOR387C_05	YOR387C	YOR387C	1.37243991575289	0.511359928413043	0.241483426689415	0.999989686247773
YOR393W_07	YOR393W	ERR1	1.08381672077317	0.0716389370481055	0.317433671522607	0.999989686247773
YPL004C_09	YPL003W	ULA1	1.31130010855683	0.892577841502775	0.16360832651553	0.999989686247773
YPL022W_06	YPL023C	MET12	1.05195594655889	0.99938470421465	-0.281419047361029	0.999989686247773
YPL059W_06	YPL059W	GRX5	1.40001740760985	0.0547301402263638	-0.868699338767961	0.999989686247773
YPL155C_01	YPL155C	KIP2	1.14348025690102	0.319997371831098	0.227831105747814	0.999989686247773
YPL194W_05	YPL194W	DDC1	1.07608282594645	0.700207896857785	0.104898726598009	0.999989686247773
YPL198W_03	YPL198W	RPL7B	1.00204807751687	0.839462893795836	-0.191424461988204	0.999989686247773
YPR041W_06	YPR041W	TIF5	1.01991906389017	0.225443636048831	0.401773771689953	0.999989686247773
YPR154W_05	YPR154W	PIN3	1.10842227834064	0.933443242630325	-0.146110862705877	0.999989686247773
